image_id,split,random_seed,dataset_version,image_filename,mask_filename,height,width,lesion_pixels,total_pixels,lesion_area_fraction
ISIC_0000000,train,42,ISIC 2018 Task 1 Training (2594),ISIC_0000000.jpg,ISIC_0000000_segmentation.png,767,1022,368211,783874,0.4697
ISIC_0000001,val,42,ISIC 2018 Task 1 Training (2594),ISIC_0000001.jpg,ISIC_0000001_segmentation.png,767,1022,55266,783874,0.0705
ISIC_0000003,train,42,ISIC 2018 Task 1 Training (2594),ISIC_0000003.jpg,ISIC_0000003_segmentation.png,767,1022,263828,783874,0.3366
ISIC_0000004,train,42,ISIC 2018 Task 1 Training (2594),ISIC_0000004.jpg,ISIC_0000004_segmentation.png,767,1022,270416,783874,0.345
ISIC_0000006,val,42,ISIC 2018 Task 1 Training (2594),ISIC_0000006.jpg,ISIC_0000006_segmentation.png,767,1022,71899,783874,0.0917
ISIC_0000007,train,42,ISIC 2018 Task 1 Training (2594),ISIC_0000007.jpg,ISIC_0000007_segmentation.png,767,1022,69027,783874,0.0881
ISIC_0000008,train,42,ISIC 2018 Task 1 Training (2594),ISIC_0000008.jpg,ISIC_0000008_segmentation.png,767,1022,264545,783874,0.3375
ISIC_0000009,train,42,ISIC 2018 Task 1 Training (2594),ISIC_0000009.jpg,ISIC_0000009_segmentation.png,767,1022,181372,783874,0.2314
ISIC_0000011,train,42,ISIC 2018 Task 1 Training (2594),ISIC_0000011.jpg,ISIC_0000011_segmentation.png,767,1022,141291,783874,0.1802
ISIC_0000012,train,42,ISIC 2018 Task 1 Training (2594),ISIC_0000012.jpg,ISIC_0000012_segmentation.png,767,1022,39446,783874,0.0503
ISIC_0000013,train,42,ISIC 2018 Task 1 Training (2594),ISIC_0000013.jpg,ISIC_0000013_segmentation.png,767,1022,216167,783874,0.2758
ISIC_0000014,val,42,ISIC 2018 Task 1 Training (2594),ISIC_0000014.jpg,ISIC_0000014_segmentation.png,767,1022,219922,783874,0.2806
ISIC_0000015,train,42,ISIC 2018 Task 1 Training (2594),ISIC_0000015.jpg,ISIC_0000015_segmentation.png,767,1022,178521,783874,0.2277
ISIC_0000016,train,42,ISIC 2018 Task 1 Training (2594),ISIC_0000016.jpg,ISIC_0000016_segmentation.png,767,1022,163125,783874,0.2081
ISIC_0000017,train,42,ISIC 2018 Task 1 Training (2594),ISIC_0000017.jpg,ISIC_0000017_segmentation.png,1129,1504,261985,1698016,0.1543
ISIC_0000018,train,42,ISIC 2018 Task 1 Training (2594),ISIC_0000018.jpg,ISIC_0000018_segmentation.png,1129,1504,400005,1698016,0.2356
ISIC_0000019,val,42,ISIC 2018 Task 1 Training (2594),ISIC_0000019.jpg,ISIC_0000019_segmentation.png,1129,1504,545924,1698016,0.3215
ISIC_0000020,train,42,ISIC 2018 Task 1 Training (2594),ISIC_0000020.jpg,ISIC_0000020_segmentation.png,1129,1504,406746,1698016,0.2395
