ablation_variant,image_id,skin_tone_group,delta,realization_id,dice,iou
Full CG-Adapter (Ours),000044,FST_I_II_Light,0.0,0,0.9211444521981856,0.8538163001293662
Full CG-Adapter (Ours),000044,FST_I_II_Light,0.2,1,0.824142568930733,0.7008864741206748
Full CG-Adapter (Ours),000044,FST_I_II_Light,0.2,2,0.8622679769146779,0.7578831916643817
Full CG-Adapter (Ours),000044,FST_I_II_Light,0.2,3,0.7769784172661871,0.6352941176470588
Full CG-Adapter (Ours),000260,FST_I_II_Light,0.0,0,0.8519701810436635,0.7421150278293135
Full CG-Adapter (Ours),000260,FST_I_II_Light,0.2,1,0.7931034482758621,0.6571428571428571
Full CG-Adapter (Ours),000260,FST_I_II_Light,0.2,2,0.857707509881423,0.7508650519031141
Full CG-Adapter (Ours),000260,FST_I_II_Light,0.2,3,0.7858508604206501,0.647244094488189
Full CG-Adapter (Ours),000261,FST_I_II_Light,0.0,0,0.9159090909090909,0.8448637316561844
Full CG-Adapter (Ours),000261,FST_I_II_Light,0.2,1,0.8516284680337757,0.7415966386554622
Full CG-Adapter (Ours),000261,FST_I_II_Light,0.2,2,0.8805166846071044,0.7865384615384615
Full CG-Adapter (Ours),000261,FST_I_II_Light,0.2,3,0.8453389830508474,0.7321100917431193
Full CG-Adapter (Ours),000265,FST_I_II_Light,0.0,0,0.9109848484848485,0.8365217391304348
Full CG-Adapter (Ours),000265,FST_I_II_Light,0.2,1,0.878343949044586,0.7830777967064169
Full CG-Adapter (Ours),000265,FST_I_II_Light,0.2,2,0.8763165814023472,0.7798607391537226
Full CG-Adapter (Ours),000265,FST_I_II_Light,0.2,3,0.851279000594884,0.7410668047643708
Full CG-Adapter (Ours),000270,FST_I_II_Light,0.0,0,0.8764044943820225,0.78
Full CG-Adapter (Ours),000270,FST_I_II_Light,0.2,1,0.6133333333333333,0.4423076923076923
Full CG-Adapter (Ours),000270,FST_I_II_Light,0.2,2,0.8632707774798928,0.7594339622641509
Full CG-Adapter (Ours),000270,FST_I_II_Light,0.2,3,0.8651685393258427,0.7623762376237624
Full CG-Adapter (Ours),000273,FST_I_II_Light,0.0,0,0.8666666666666667,0.7647058823529411
Full CG-Adapter (Ours),000273,FST_I_II_Light,0.2,1,0.7591240875912408,0.611764705882353
Full CG-Adapter (Ours),000273,FST_I_II_Light,0.2,2,0.9090909090909091,0.8333333333333334
Full CG-Adapter (Ours),000273,FST_I_II_Light,0.2,3,0.8604651162790697,0.7551020408163265
