image_id,skin_tone_group,split_name,image_height,image_width,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,bbox_width,bbox_height,lesion_pixels,lesion_area_fraction,core_lesion_purity,skin_percentage,lesion_spillover,marker_contamination,ruler_contamination,other_background_percentage,invalid_empty_fraction,skin_proxy_purity,has_marker,has_ruler,delta_l,delta_ita,delta_e_ab,delta_a,delta_b,delta_l_clean,delta_ita_clean,delta_e_ab_clean,delta_a_clean,delta_b_clean,core_valid_pixels,skin_valid_pixels,b_star_singular_pixels,morphological_difficulty_class_a,shape_complexity,contour_tortuosity,scale_difficulty,boundary_gradient,boundary_ambiguity_class_c,is_synthetic_rendering
000044,FST_I_II_Light,test_light,256,256,95,50,144,122,49,72,2862,0.043671,1.0,0.890266,0.0,0.0,0.109734,0.0,0.0,0.890266,False,True,55.0476,128.7418,55.2035,-3.1641,2.6797,54.8218,128.2659,54.9761,-2.8672,2.9531,900,4356,478,0.1499,0.1684,0.1159,0.1545,483.3995,0.0,True
000260,FST_I_II_Light,test_light,256,256,100,118,121,149,21,31,503,0.007675,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,54.9438,128.6608,55.0586,-2.4609,2.5625,54.9438,128.6608,55.0586,-2.4609,2.5625,165,806,0,0.3152,0.1988,0.1473,0.8582,482.8448,0.0,True
000261,FST_I_II_Light,test_light,256,256,116,123,142,144,26,21,409,0.006241,1.0,0.957278,0.0,0.0,0.042722,0.0,0.0,0.957278,False,True,55.13,129.7893,55.3106,-3.0625,3.25,55.0385,129.5648,55.2187,-2.9297,3.3594,154,632,27,0.3347,0.2263,0.1477,0.8859,500.1896,0.0,True
000265,FST_I_II_Light,test_light,256,256,8,142,71,177,63,35,1456,0.022217,1.0,0.919784,0.0,0.080216,0.0,0.0,0.0,0.919784,True,False,54.8523,128.634,54.9737,-2.25,2.875,54.8523,128.634,54.9936,-2.25,3.2344,527,2406,0,0.3381,0.3705,0.1241,0.5781,496.106,0.0,True
000270,FST_I_II_Light,test_light,256,256,114,124,131,137,17,13,172,0.002625,1.0,0.122047,0.0,0.877953,0.0,0.0,0.0,0.122047,True,False,-2.356,-95.1207,99.5562,42.8906,-89.8125,55.3223,131.2005,55.5614,-3.3906,3.875,63,254,0,0.3427,0.1975,0.1768,0.9544,423.2233,0.0,True
000273,FST_I_II_Light,test_light,256,256,137,102,147,113,10,11,77,0.001175,1.0,0.875,0.0,0.125,0.0,0.0,0.0,0.875,True,False,55.1666,129.992,55.2407,-1.7656,2.25,55.3314,130.5778,55.435,-1.8281,2.8516,30,128,0,0.3129,0.1357,0.163,0.9806,870.3943,0.0,True
000274,FST_I_II_Light,test_light,256,256,118,130,130,141,12,11,99,0.001511,1.0,0.724138,0.0,0.275862,0.0,0.0,0.0,0.724138,True,False,54.3121,127.2744,54.4286,-2.3516,2.6719,54.4952,128.316,54.6912,-2.75,3.7188,30,174,0,0.3456,0.2111,0.15,0.975,966.2554,0.0,True
000275,FST_I_II_Light,test_light,256,256,82,72,96,98,14,26,228,0.003479,0.940476,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,55.1086,130.548,55.316,-2.7422,3.9219,55.1086,130.548,55.316,-2.7422,3.9219,84,472,0,0.4737,0.4763,0.1591,0.9394,512.1413,0.0,True
000278,FST_I_II_Light,test_light,256,256,108,62,148,104,40,42,1150,0.017548,0.981818,0.797059,0.0,0.0,0.202941,0.0,0.0,0.797059,False,True,55.2277,129.2265,55.3658,-3.2656,2.1484,54.7821,129.0393,54.8829,-2.4688,2.2266,440,2040,414,0.3053,0.246,0.163,0.6672,491.5616,0.0,True
000280,FST_I_II_Light,test_light,256,256,158,119,174,127,16,8,81,0.001236,0.9375,0.8375,0.0,0.1625,0.0,0.0,0.0,0.8375,True,False,54.2023,126.2854,54.2638,-1.5469,2.0703,54.2847,127.6649,54.3499,-1.5703,2.1484,32,160,0,0.4713,0.4343,0.1935,0.9806,1109.4247,0.0,True
000283,FST_I_II_Light,test_light,256,256,125,109,147,131,22,22,281,0.004288,1.0,0.839286,0.0,0.160714,0.0,0.0,0.0,0.839286,True,False,54.657,127.4418,54.7133,-1.5,1.9766,55.0323,128.0525,55.1279,-2.0781,2.4922,100,672,0,0.429,0.4036,0.1411,0.9243,752.8323,0.0,True
000284,FST_I_II_Light,test_light,256,256,97,100,166,146,69,46,2224,0.033936,1.0,0.748761,0.0,0.055748,0.195491,0.0,0.0,0.748761,True,True,55.0873,128.7148,55.2124,-3.1406,1.9844,54.7974,127.9736,54.9164,-2.25,2.8281,770,4036,789,0.262,0.2984,0.1443,0.3475,531.4634,0.0,True
000288,FST_I_II_Light,test_light,256,256,98,200,117,219,19,19,255,0.003891,1.0,0.454167,0.0,0.545833,0.0,0.0,0.0,0.454167,True,False,-2.478,-98.1035,101.1867,44.0156,-91.0781,54.9316,127.7902,55.0332,-1.875,2.7656,81,480,0,0.2995,0.1391,0.1467,0.9298,1057.6954,0.0,True
000292,FST_I_II_Light,test_light,256,256,82,86,184,148,102,62,4487,0.068466,1.0,0.765702,0.0,0.234298,0.0,0.0,0.0,0.765702,True,False,54.6509,127.5548,54.724,-1.8672,2.125,54.8889,128.9917,54.9892,-2.1484,2.5312,1500,8152,0,0.2156,0.3659,0.1088,0.0,648.8129,0.0,True
000294,FST_I_II_Light,test_light,256,256,175,184,188,194,13,10,90,0.001373,0.952381,0.963235,0.0,0.036765,0.0,0.0,0.0,0.963235,True,False,54.1779,125.31,54.2129,-1.3594,1.3984,54.2175,125.31,54.2639,-1.5703,1.6016,42,136,0,0.4574,0.4318,0.1532,0.9779,756.8002,0.0,True
000303,FST_I_II_Light,test_light,256,256,116,125,140,139,24,14,228,0.003479,1.0,0.993421,0.0,0.006579,0.0,0.0,0.0,0.993421,True,False,55.1056,129.5883,55.2588,-2.4375,3.3125,55.1056,129.5883,55.2603,-2.4375,3.3359,72,456,0,0.3896,0.3088,0.1582,0.9385,504.1658,0.0,True
000304,FST_I_II_Light,test_light,256,256,115,115,148,144,33,29,698,0.010651,1.0,0.862609,0.0,0.137391,0.0,0.0,0.0,0.862609,True,False,54.7668,127.7144,54.8764,-2.1875,2.6875,54.8279,128.7126,54.9373,-2.1875,2.6875,255,1150,0,0.3074,0.2126,0.1366,0.8007,499.8531,0.0,True
000305,FST_I_II_Light,test_light,256,256,94,166,108,171,14,5,53,0.000809,1.0,0.880952,0.0,0.119048,0.0,0.0,0.0,0.880952,True,False,54.4891,126.2442,54.538,-1.6328,1.6328,54.4891,126.9882,54.5507,-1.9453,1.7109,18,84,0,0.4898,0.5119,0.1204,0.9886,1161.4142,0.0,True
000307,FST_I_II_Light,test_light,256,256,159,139,167,145,8,6,33,0.000504,1.0,0.597222,0.0,0.402778,0.0,0.0,0.0,0.597222,True,False,53.3752,125.5655,53.4546,-2.8438,0.625,54.4464,128.9147,54.7022,-4.7734,2.2656,8,72,0,0.3478,0.1915,0.1786,0.9927,1512.249,0.0,True
000308,FST_I_II_Light,test_light,256,256,146,128,222,180,76,52,2981,0.045486,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,55.0049,128.935,55.1622,-2.6875,3.1797,55.0049,128.935,55.1622,-2.6875,3.1797,988,4940,0,0.206,0.2828,0.1344,0.1212,497.5981,0.0,True
000311,FST_I_II_Light,test_light,256,256,107,119,129,132,22,13,182,0.002777,1.0,0.777778,0.0,0.222222,0.0,0.0,0.0,0.777778,True,False,54.7241,128.043,54.8156,-2.2031,2.2734,55.2185,128.9548,55.4154,-3.6016,2.9688,70,360,0,0.392,0.3093,0.157,0.9516,796.5037,0.0,True
000314,FST_I_II_Light,test_light,256,256,105,103,130,117,25,14,263,0.004013,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,55.0537,128.8869,55.2086,-2.3516,3.3984,55.0537,128.8869,55.2086,-2.3516,3.3984,78,464,0,0.3511,0.2545,0.1274,0.9284,497.937,0.0,True
000317,FST_I_II_Light,test_light,256,256,129,205,139,214,10,9,71,0.001083,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,55.2063,128.8996,55.3325,-2.625,2.6562,55.2063,128.8996,55.3325,-2.625,2.6562,30,92,0,0.3385,0.2058,0.13,0.9828,594.4494,0.0,True
000321,FST_I_II_Light,test_light,256,256,115,179,128,195,13,16,156,0.00238,1.0,0.879032,0.0,0.120968,0.0,0.0,0.0,0.879032,True,False,55.0049,128.3389,55.1202,-2.3125,2.7109,55.2032,129.1246,55.3581,-2.9297,2.9219,56,248,0,0.3178,0.1671,0.1419,0.9586,763.2682,0.0,True
000323,FST_I_II_Light,test_light,256,256,164,122,185,157,21,35,498,0.007599,1.0,0.746696,0.0,0.253304,0.0,0.0,0.0,0.746696,True,False,54.6692,129.0511,54.7702,-1.9141,2.7188,55.1819,130.2416,55.36,-2.8438,3.4062,187,908,0,0.3786,0.3369,0.1266,0.8607,564.9261,0.0,True
