image_id,delta,realization_id,dice,iou,hd95
ISIC_0000000,0.0,0,0.9171,0.8469,35.0
ISIC_0000000,0.05,0,0.9173,0.8473,36.23
ISIC_0000000,0.05,1,0.9274,0.8646,34.0
ISIC_0000000,0.05,2,0.9199,0.8517,35.38
ISIC_0000000,0.1,0,0.8837,0.7916,205.48
ISIC_0000000,0.1,1,0.8792,0.7844,78.61
ISIC_0000000,0.1,2,0.8923,0.8056,65.02
ISIC_0000000,0.2,0,0.8153,0.6881,142.41
ISIC_0000000,0.2,1,0.743,0.5911,165.61
ISIC_0000000,0.2,2,0.8787,0.7836,162.46
ISIC_0000001,0.0,0,0.8979,0.8147,28.02
ISIC_0000001,0.05,0,0.9091,0.8333,18.68
ISIC_0000001,0.05,1,0.8497,0.7387,42.06
ISIC_0000001,0.05,2,0.9124,0.8388,21.38
ISIC_0000001,0.1,0,0.9109,0.8364,22.0
ISIC_0000001,0.1,1,0.9283,0.8662,17.0
ISIC_0000001,0.1,2,0.8726,0.7739,37.11
ISIC_0000001,0.2,0,0.6151,0.4442,76.59
ISIC_0000001,0.2,1,0.8204,0.6954,55.35
ISIC_0000001,0.2,2,0.7767,0.635,47.27
ISIC_0000003,0.0,0,0.9837,0.9679,11.0
ISIC_0000003,0.05,0,0.9788,0.9585,16.0
ISIC_0000003,0.05,1,0.9821,0.9648,11.7
ISIC_0000003,0.05,2,0.9753,0.9518,18.03
ISIC_0000003,0.1,0,0.8972,0.8136,51.0
ISIC_0000003,0.1,1,0.932,0.8727,64.78
ISIC_0000003,0.1,2,0.9749,0.951,18.68
ISIC_0000003,0.2,0,0.8845,0.793,108.62
ISIC_0000003,0.2,1,0.9154,0.8441,39.56
ISIC_0000003,0.2,2,0.6802,0.5153,233.2
ISIC_0000004,0.0,0,0.9509,0.9064,27.82
ISIC_0000004,0.05,0,0.9533,0.9108,33.24
ISIC_0000004,0.05,1,0.9537,0.9115,25.0
ISIC_0000004,0.05,2,0.9405,0.8876,29.15
ISIC_0000004,0.1,0,0.9434,0.8929,43.57
ISIC_0000004,0.1,1,0.9647,0.9318,23.26
ISIC_0000004,0.1,2,0.8928,0.8063,69.59
ISIC_0000004,0.2,0,0.9077,0.831,81.49
ISIC_0000004,0.2,1,0.8841,0.7923,94.19
ISIC_0000004,0.2,2,0.6153,0.4444,150.67
ISIC_0000006,0.0,0,0.9207,0.853,27.56
ISIC_0000006,0.05,0,0.9223,0.8557,28.25
ISIC_0000006,0.05,1,0.8991,0.8166,27.0
ISIC_0000006,0.05,2,0.8921,0.8051,39.08
ISIC_0000006,0.1,0,0.8483,0.7366,38.56
ISIC_0000006,0.1,1,0.8954,0.8105,39.06
ISIC_0000006,0.1,2,0.8964,0.8122,42.52
ISIC_0000006,0.2,0,0.8015,0.6688,47.21
ISIC_0000006,0.2,1,0.8375,0.7204,42.2
ISIC_0000006,0.2,2,0.7089,0.5491,51.7
ISIC_0000007,0.0,0,0.869,0.7684,24.76
ISIC_0000007,0.05,0,0.8695,0.7691,24.19
ISIC_0000007,0.05,1,0.8724,0.7737,24.11
ISIC_0000007,0.05,2,0.8709,0.7713,24.7
ISIC_0000007,0.1,0,0.8419,0.727,27.46
ISIC_0000007,0.1,1,0.8659,0.7634,25.55
ISIC_0000007,0.1,2,0.8703,0.7704,23.3
ISIC_0000007,0.2,0,0.8776,0.7819,23.35
ISIC_0000007,0.2,1,0.8708,0.7711,48.26
ISIC_0000007,0.2,2,0.8585,0.7521,48.81
ISIC_0000008,0.0,0,0.9693,0.9404,11.05
ISIC_0000008,0.05,0,0.9399,0.8866,61.91
ISIC_0000008,0.05,1,0.9452,0.8962,51.8
ISIC_0000008,0.05,2,0.9652,0.9328,29.42
ISIC_0000008,0.1,0,0.9712,0.9441,18.0
ISIC_0000008,0.1,1,0.9362,0.88,66.44
ISIC_0000008,0.1,2,0.7787,0.6376,174.41
ISIC_0000008,0.2,0,0.745,0.5936,173.56
ISIC_0000008,0.2,1,0.8839,0.792,79.49
ISIC_0000008,0.2,2,0.6308,0.4607,176.32
ISIC_0000009,0.0,0,0.9433,0.8926,32.02
ISIC_0000009,0.05,0,0.9292,0.8677,51.49
ISIC_0000009,0.05,1,0.9595,0.9221,22.83
ISIC_0000009,0.05,2,0.9084,0.8322,59.4
ISIC_0000009,0.1,0,0.9529,0.9101,27.49
ISIC_0000009,0.1,1,0.9084,0.8321,71.03
ISIC_0000009,0.1,2,0.8734,0.7752,60.07
ISIC_0000009,0.2,0,0.7877,0.6497,114.37
ISIC_0000009,0.2,1,0.8103,0.681,106.57
ISIC_0000009,0.2,2,0.8173,0.691,90.03
ISIC_0000011,0.0,0,0.9424,0.891,28.33
ISIC_0000011,0.05,0,0.9352,0.8783,27.77
ISIC_0000011,0.05,1,0.9035,0.8239,37.55
ISIC_0000011,0.05,2,0.9366,0.8807,31.58
ISIC_0000011,0.1,0,0.8875,0.7978,51.1
ISIC_0000011,0.1,1,0.88,0.7857,46.4
ISIC_0000011,0.1,2,0.8286,0.7073,83.0
ISIC_0000011,0.2,0,0.7727,0.6296,111.68
ISIC_0000011,0.2,1,0.7634,0.6173,113.6
ISIC_0000011,0.2,2,0.7553,0.6068,88.75
ISIC_0000012,0.0,0,0.9332,0.8747,14.0
ISIC_0000012,0.05,0,0.9343,0.8767,13.93
ISIC_0000012,0.05,1,0.9312,0.8713,14.81
ISIC_0000012,0.05,2,0.9317,0.8721,14.0
ISIC_0000012,0.1,0,0.8836,0.7914,24.0
ISIC_0000012,0.1,1,0.9086,0.8325,19.89
ISIC_0000012,0.1,2,0.9325,0.8735,17.26
ISIC_0000012,0.2,0,0.8017,0.669,48.75
ISIC_0000012,0.2,1,0.9218,0.8549,19.0
ISIC_0000012,0.2,2,0.7338,0.5795,67.66
ISIC_0000013,0.0,0,0.9697,0.9411,19.31
ISIC_0000013,0.05,0,0.9667,0.9355,22.2
ISIC_0000013,0.05,1,0.8875,0.7978,47.01
ISIC_0000013,0.05,2,0.9698,0.9413,21.23
ISIC_0000013,0.1,0,0.9134,0.8406,34.21
ISIC_0000013,0.1,1,0.9247,0.86,54.04
ISIC_0000013,0.1,2,0.8682,0.767,56.51
ISIC_0000013,0.2,0,0.7978,0.6636,128.74
ISIC_0000013,0.2,1,0.8156,0.6887,125.74
ISIC_0000013,0.2,2,0.7717,0.6282,111.17
ISIC_0000014,0.0,0,0.9725,0.9466,15.81
ISIC_0000014,0.05,0,0.9765,0.954,14.56
ISIC_0000014,0.05,1,0.9691,0.9401,18.6
ISIC_0000014,0.05,2,0.9602,0.9235,23.0
ISIC_0000014,0.1,0,0.877,0.7809,80.02
ISIC_0000014,0.1,1,0.878,0.7825,81.84
ISIC_0000014,0.1,2,0.9425,0.8913,27.73
ISIC_0000014,0.2,0,0.9093,0.8336,75.95
ISIC_0000014,0.2,1,0.6406,0.4713,172.03
ISIC_0000014,0.2,2,0.8375,0.7205,117.57
ISIC_0000015,0.0,0,0.9218,0.8549,43.97
ISIC_0000015,0.05,0,0.7323,0.5777,163.69
ISIC_0000015,0.05,1,0.8855,0.7945,32.25
ISIC_0000015,0.05,2,0.9068,0.8295,41.01
ISIC_0000015,0.1,0,0.9105,0.8357,44.8
ISIC_0000015,0.1,1,0.7582,0.6106,119.26
ISIC_0000015,0.1,2,0.8782,0.7828,51.55
ISIC_0000015,0.2,0,0.4993,0.3327,138.83
ISIC_0000015,0.2,1,0.8039,0.6721,77.16
ISIC_0000015,0.2,2,0.8185,0.6928,94.04
ISIC_0000016,0.0,0,0.9364,0.8804,22.41
ISIC_0000016,0.05,0,0.9297,0.8686,23.85
ISIC_0000016,0.05,1,0.9304,0.8698,30.02
ISIC_0000016,0.05,2,0.9377,0.8828,25.46
ISIC_0000016,0.1,0,0.9151,0.8435,31.38
ISIC_0000016,0.1,1,0.9315,0.8717,33.61
ISIC_0000016,0.1,2,0.9342,0.8765,29.15
ISIC_0000016,0.2,0,0.8323,0.7127,104.12
ISIC_0000016,0.2,1,0.821,0.6963,116.39
ISIC_0000016,0.2,2,0.9258,0.8619,40.23
ISIC_0000017,0.0,0,0.9433,0.8927,33.24
ISIC_0000017,0.05,0,0.8804,0.7863,88.79
ISIC_0000017,0.05,1,0.8945,0.8091,86.39
ISIC_0000017,0.05,2,0.9428,0.8918,32.01
ISIC_0000017,0.1,0,0.8966,0.8125,83.99
ISIC_0000017,0.1,1,0.8655,0.7629,85.84
ISIC_0000017,0.1,2,0.9106,0.8358,58.01
ISIC_0000017,0.2,0,0.8192,0.6937,115.0
ISIC_0000017,0.2,1,0.7916,0.6551,125.38
ISIC_0000017,0.2,2,0.787,0.6488,104.45
ISIC_0000018,0.0,0,0.9501,0.9049,45.18
ISIC_0000018,0.05,0,0.9401,0.887,52.02
ISIC_0000018,0.05,1,0.9045,0.8256,83.6
ISIC_0000018,0.05,2,0.9189,0.85,63.81
ISIC_0000018,0.1,0,0.911,0.8366,64.4
ISIC_0000018,0.1,1,0.8862,0.7957,77.41
ISIC_0000018,0.1,2,0.9118,0.838,59.68
ISIC_0000018,0.2,0,0.855,0.7468,110.02
ISIC_0000018,0.2,1,0.8896,0.8011,87.06
ISIC_0000018,0.2,2,0.8841,0.7923,100.96
ISIC_0000019,0.0,0,0.9726,0.9467,24.52
ISIC_0000019,0.05,0,0.9719,0.9454,26.13
ISIC_0000019,0.05,1,0.951,0.9066,41.11
ISIC_0000019,0.05,2,0.9624,0.9276,35.06
ISIC_0000019,0.1,0,0.9195,0.8509,88.81
ISIC_0000019,0.1,1,0.9402,0.8872,57.71
ISIC_0000019,0.1,2,0.9332,0.8748,61.4
ISIC_0000019,0.2,0,0.8527,0.7432,139.7
ISIC_0000019,0.2,1,0.9333,0.875,98.75
ISIC_0000019,0.2,2,0.8764,0.78,177.87
ISIC_0000020,0.0,0,0.9377,0.8828,45.0
ISIC_0000020,0.05,0,0.911,0.8366,57.0
ISIC_0000020,0.05,1,0.9083,0.832,52.01
ISIC_0000020,0.05,2,0.9415,0.8894,40.5
ISIC_0000020,0.1,0,0.9254,0.8612,56.0
ISIC_0000020,0.1,1,0.8916,0.8044,101.45
ISIC_0000020,0.1,2,0.9008,0.8196,95.67
ISIC_0000020,0.2,0,0.8689,0.7682,91.42
ISIC_0000020,0.2,1,0.9113,0.837,72.18
ISIC_0000020,0.2,2,0.9304,0.8699,85.64
ISIC_0000021,0.0,0,0.9387,0.8845,74.11
ISIC_0000021,0.05,0,0.9455,0.8967,54.04
ISIC_0000021,0.05,1,0.9173,0.8472,104.64
ISIC_0000021,0.05,2,0.9337,0.8757,59.0
ISIC_0000021,0.1,0,0.9496,0.9041,46.62
ISIC_0000021,0.1,1,0.9375,0.8824,71.05
ISIC_0000021,0.1,2,0.9096,0.8341,121.38
ISIC_0000021,0.2,0,0.705,0.5445,236.36
ISIC_0000021,0.2,1,0.7824,0.6426,202.04
ISIC_0000021,0.2,2,0.753,0.6039,177.81
